Date,Open,High,Low,Close,Volume,Adj Close
2010-09-02 00:00:00,84.15,84.15,84.15,84.15,1000000,84.15
2010-09-03 00:00:00,84.45,84.45,84.45,84.45,1000000,84.45
2010-09-07 00:00:00,83.75,83.75,83.75,83.75,1000000,83.75
2010-09-08 00:00:00,83.85,83.85,83.85,83.85,1000000,83.85
2010-09-09 00:00:00,83.83,83.83,83.83,83.83,1000000,83.83
2010-09-10 00:00:00,84.13,84.13,84.13,84.13,1000000,84.13
2010-09-13 00:00:00,83.53,83.53,83.53,83.53,1000000,83.53
2010-09-14 00:00:00,83.05,83.05,83.05,83.05,1000000,83.05
2010-09-15 00:00:00,85.63,85.63,85.63,85.63,1000000,85.63
2010-09-16 00:00:00,85.72,85.72,85.72,85.72,1000000,85.72
2010-09-17 00:00:00,85.77,85.77,85.77,85.77,1000000,85.77
2010-09-20 00:00:00,85.74,85.74,85.74,85.74,1000000,85.74
2010-09-21 00:00:00,85.36,85.36,85.36,85.36,1000000,85.36
2010-09-22 00:00:00,84.37,84.37,84.37,84.37,1000000,84.37
2010-09-23 00:00:00,84.32,84.32,84.32,84.32,1000000,84.32
2010-09-24 00:00:00,84.24,84.24,84.24,84.24,1000000,84.24
2010-09-27 00:00:00,84.17,84.17,84.17,84.17,1000000,84.17
2010-09-28 00:00:00,83.82,83.82,83.82,83.82,1000000,83.82
2010-09-29 00:00:00,83.61,83.61,83.61,83.61,1000000,83.61
2010-09-30 00:00:00,83.53,83.53,83.53,83.53,1000000,83.53
2010-10-01 00:00:00,83.3,83.3,83.3,83.3,1000000,83.3
2010-10-04 00:00:00,83.33,83.33,83.33,83.33,1000000,83.33
2010-10-05 00:00:00,83.17,83.17,83.17,83.17,1000000,83.17
2010-10-06 00:00:00,82.8,82.8,82.8,82.8,1000000,82.8
2010-10-07 00:00:00,82.35,82.35,82.35,82.35,1000000,82.35
2010-10-08 00:00:00,81.86,81.86,81.86,81.86,1000000,81.86
2010-10-12 00:00:00,81.74,81.74,81.74,81.74,1000000,81.74
2010-10-13 00:00:00,81.81,81.81,81.81,81.81,1000000,81.81
